"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TNK_MN004","402","18760814","18.8","5","0"
"TNK_MN004","402","18760815","20","5","0"
"TNK_MN004","402","18760816","15.8","5","0"
"TNK_MN004","402","18760817","12.5","5","0"
"TNK_MN004","402","18760818","12.3","5","0"
"TNK_MN004","402","18760819","15","5","0"
"TNK_MN004","402","18760820","16.8","5","0"
"TNK_MN004","402","18760821","19.5","5","0"
"TNK_MN004","402","18760822","20.5","5","0"
"TNK_MN004","402","18760823","16.8","5","0"
"TNK_MN004","402","18760824","13","5","0"
"TNK_MN004","402","18760825","12.5","5","0"
"TNK_MN004","402","18760826","10","5","0"
"TNK_MN004","402","18760827","9.8","5","0"
"TNK_MN004","402","18760828","11.8","5","0"
"TNK_MN004","402","18760829","14.3","5","0"
"TNK_MN004","402","18760830","13.5","5","0"
"TNK_MN004","402","18760831","11.5","5","0"
"TNK_MN004","402","18760901","12","5","0"
"TNK_MN004","402","18760902","11.5","5","0"
"TNK_MN004","402","18760903","11.8","5","0"
"TNK_MN004","402","18760904","11.5","5","0"
"TNK_MN004","402","18760905","12.8","5","0"
"TNK_MN004","402","18760906","16.3","5","0"
"TNK_MN004","402","18760907","14.5","5","0"
"TNK_MN004","402","18760908","12","5","0"
"TNK_MN004","402","18760909","11.5","5","0"
"TNK_MN004","402","18760910","10.5","5","0"
"TNK_MN004","402","18760911","10","5","0"
"TNK_MN004","402","18760912","9.3","5","0"
"TNK_MN004","402","18760913","9.5","5","0"
"TNK_MN004","402","18760914","10","5","0"
"TNK_MN004","402","18760915","12.3","5","0"
"TNK_MN004","402","18760916","12","5","0"
"TNK_MN004","402","18760917","9.3","5","0"
"TNK_MN004","402","18760918","11","5","0"
"TNK_MN004","402","18760919","11","5","0"
"TNK_MN004","402","18760920","10.5","5","0"
"TNK_MN004","402","18760921","9","5","0"
"TNK_MN004","402","18760922","8.8","5","0"
"TNK_MN004","402","18760923","8","5","0"
"TNK_MN004","402","18760924","10","5","0"
"TNK_MN004","402","18760925","11.8","5","0"
"TNK_MN004","402","18760926","12.8","5","0"
"TNK_MN004","402","18760927","11","5","0"
"TNK_MN004","402","18760928","12.3","5","0"
"TNK_MN004","402","18760929","12.8","5","0"
"TNK_MN004","402","18760930","10.3","5","0"
"TNK_MN004","402","18761001","8.5","5","0"
"TNK_MN004","402","18761002","5","5","0"
"TNK_MN004","402","18761003","8","5","0"
"TNK_MN004","402","18761004","9","5","0"
"TNK_MN004","402","18761005","13","5","0"
"TNK_MN004","402","18761006","11.8","5","0"
"TNK_MN004","402","18761007","11.5","5","0"
"TNK_MN004","402","18761008","13.3","5","0"
"TNK_MN004","402","18761009","12.5","5","0"
"TNK_MN004","402","18761010","13.8","5","0"
"TNK_MN004","402","18761011","13","5","0"
"TNK_MN004","402","18761012","16.8","5","0"
"TNK_MN004","402","18761013","15.3","5","0"
"TNK_MN004","402","18761014","15","5","0"
"TNK_MN004","402","18761015","15","5","0"
"TNK_MN004","402","18761016","14.5","5","0"
"TNK_MN004","402","18761017","14.1","5","0"
"TNK_MN004","402","18761018","11.8","5","0"
"TNK_MN004","402","18761019","6.5","5","0"
"TNK_MN004","402","18761020","2","5","0"
"TNK_MN004","402","18761021","-0.8","5","0"
"TNK_MN004","402","18761022","-0.3","5","0"
"TNK_MN004","402","18761023","1.2","5","0"
"TNK_MN004","402","18761024","4","5","0"
"TNK_MN004","402","18761025","8","5","0"
"TNK_MN004","402","18761026","8","5","0"
"TNK_MN004","402","18761027","8.5","5","0"
"TNK_MN004","402","18761028","8.3","5","0"
"TNK_MN004","402","18761029","8","5","0"
"TNK_MN004","402","18761030","3.3","5","0"
"TNK_MN004","402","18761031","3.3","5","0"
"TNK_MN004","402","18761101","3.5","5","0"
"TNK_MN004","402","18761102","1.5","5","0"
"TNK_MN004","402","18761103","5.3","5","0"
"TNK_MN004","402","18761104","1.8","5","0"
"TNK_MN004","402","18761105","0","5","0"
"TNK_MN004","402","18761106","-0.3","5","0"
"TNK_MN004","402","18761107","-0.8","5","0"
"TNK_MN004","402","18761108","-1.8","5","0"
"TNK_MN004","402","18761109","-3","5","0"
"TNK_MN004","402","18761110","-5","5","0"
"TNK_MN004","402","18761111","-5.8","5","0"
"TNK_MN004","402","18761112","-7.5","5","0"
"TNK_MN004","402","18761113","-5","5","0"
"TNK_MN004","402","18761114","2.3","5","0"
"TNK_MN004","402","18761115","3.5","5","0"
"TNK_MN004","402","18761116","5","5","0"
